ID,x,y,kmeans
spot_420,13670,6976,2
spot_421,4598,16855,1
spot_422,22273,19729,0
spot_423,7615,9016,2
spot_424,22506,7398,0
spot_425,19238,15962,0
spot_426,8391,20766,1
spot_427,16963,13789,0
spot_428,17214,13064,0
spot_429,16209,16257,0
spot_430,19224,6677,0
spot_431,15693,8714,0
spot_432,9907,22215,1
spot_433,7611,6405,2
spot_434,22251,5802,0
spot_435,21767,19150,0
spot_436,21748,6964,0
spot_437,6362,14676,1
spot_438,21500,9720,0
spot_439,12168,14812,2
spot_440,21509,15523,0
spot_441,14194,19161,2
spot_442,20989,5369,0
spot_443,14931,5958,0
spot_444,16950,5665,0
spot_445,8128,14238,1
spot_446,4345,16420,1
spot_447,14188,15099,2
spot_448,13676,10748,2
spot_449,8622,6984,2
spot_450,5854,12936,1
spot_451,12178,21486,2
spot_452,20252,18862,0
spot_453,22762,9573,0
spot_454,7372,14965,1
spot_455,22530,22776,0
spot_456,6628,23525,1
spot_457,5864,19319,1
spot_458,21756,12186,0
spot_459,19730,7547,0
spot_460,10143,11043,2
spot_461,22509,9139,0
spot_462,18981,13206,0
spot_463,16467,20174,2
spot_464,7128,20333,1
spot_465,13439,20758,2
spot_466,17227,21478,0
spot_467,19983,8272,0
spot_468,7373,15835,1
spot_469,18725,11030,0
spot_470,5597,9890,1
spot_471,10149,15106,1
spot_472,6104,11340,1
spot_473,20739,7545,0
spot_474,19732,9288,0
spot_475,15691,7553,0
spot_476,11924,20180,2
spot_477,9151,22941,1
spot_478,18227,15093,0
spot_479,15955,15242,0
spot_480,21513,18135,0
spot_481,8369,6549,2
spot_482,20760,21182,0
spot_483,14453,23368,2
spot_484,16197,8423,0
spot_485,12928,16407,2
spot_486,10639,5240,2
spot_487,14442,16405,2
spot_488,5861,17288,1
spot_489,21262,19151,0
spot_490,12938,23371,2
spot_491,12926,15246,2
spot_492,18232,18575,2
spot_493,15705,17128,2
spot_494,4850,16709,1
spot_495,20995,9431,0
spot_496,7877,15254,1
spot_497,13189,22355,2
spot_498,17204,6390,0
spot_499,6375,23381,1
spot_500,11413,16409,2
spot_501,10647,10753,2
spot_502,6355,10324,1
spot_503,12165,13071,2
spot_504,11410,14378,1
spot_505,7111,9597,1
spot_506,4593,13663,1
spot_507,6621,18883,1
spot_508,7364,9742,2
spot_509,12930,18148,2
spot_510,13427,12634,2
spot_511,15455,18144,2
spot_512,16715,16836,2
spot_513,19240,17413,0
spot_514,3849,22514,1
spot_515,10655,15975,1
spot_516,11676,23518,2
spot_517,14441,15534,2
spot_518,4845,13228,1
spot_519,21241,5514,0
spot_520,11154,12202,2
spot_521,14932,6539,0
spot_522,11924,20471,2
spot_523,22505,6527,0
spot_524,10905,14089,1
spot_525,13670,6686,2
spot_526,19224,6967,0
spot_527,17986,22492,0
spot_528,17227,21768,0
spot_529,22758,6962,0
spot_530,14957,23077,2
spot_531,10655,15685,1
spot_532,13435,17857,2
