barcode,mclust,x,y
aaaafcep-1,2,1142.4401550292969,3622.1940673828126
aaaafcfa-1,2,1118.66806640625,3623.2474365234375
aaaafcfb-1,2,1111.335986328125,3626.5083984375
aaaafcfc-1,2,1144.954150390625,3632.318115234375
aaaafcfd-1,2,1113.384722900391,3632.53642578125
aaaafcfe-1,2,1119.7658447265624,3631.043530273437
aaaafcff-1,2,1108.8738708496094,3632.7526611328126
aaaafcfg-1,2,1127.399658203125,3632.316455078125
aaaafcfh-1,2,1137.131805419922,3633.823876953125
aaaafcfi-1,2,1111.0746154785156,3637.212255859375
aaaafcfj-1,2,1117.8964050292968,3638.233251953125
aaaafcfl-1,2,1128.040478515625,3639.1650146484376
aaaafcfm-1,2,1111.1764038085937,3643.7968505859376
aaaafcfn-1,2,1137.852520751953,3643.407543945312
aaaafcfo-1,2,1119.897412109375,3644.291577148437
aaaafcfp-1,2,1128.6201843261715,3647.0648681640623
aaaafcga-1,2,1107.9930541992187,3650.251538085937
aaaafcgb-1,2,1115.5763366699218,3650.7533203125
aaaafcgc-1,2,1136.972430419922,3650.8471191406247
aaaafcgd-1,2,1144.9234375,3651.182470703125
aaaafcge-1,2,1122.8440856933594,3653.5091796875
aaaafcgf-1,2,1110.8796508789062,3656.6244628906247
aaaafcgg-1,2,1130.9434692382813,3657.0656494140626
aaaafcgh-1,2,1117.4186950683593,3658.100341796875
aaaafcgi-1,2,1125.3220764160155,3660.3336669921873
aaaafcgj-1,2,1109.4997497558593,3662.839672851562
aaaafcgk-1,2,1133.5001098632813,3666.084033203125
aaaafcgl-1,2,1118.9327575683594,3665.815502929687
aaaafcgm-1,2,1113.3423889160156,3672.2216308593743
aaaafcgn-1,2,1132.6846618652344,3673.9436279296874
aaaafcgo-1,2,1123.6456298828125,3672.411303710938
aaaafcgp-1,2,1107.5246826171874,3675.9109130859374
aaaafcha-1,2,1117.2437561035156,3677.440747070312
aaaafchb-1,2,1123.0001403808594,3681.214697265625
aaaafchc-1,2,1144.3652099609374,3663.349755859375
aaaafchd-1,2,1148.4997253417969,3607.46474609375
aaaafche-1,2,1110.6398620605469,3685.375048828125
aaaafchf-1,2,1119.02666015625,3685.7328125
aaaafchg-1,2,1139.8066284179688,3685.209033203125
aaaafchi-1,2,1132.0940612792967,3693.56376953125
aaaafchj-1,2,1126.2376525878906,3623.720581054687
aaaafchk-1,2,1132.898095703125,3624.469311523437
aaaafchl-1,2,1136.7589965820312,3657.173974609375
aaaafchm-1,2,1130.8148071289063,3682.2643310546873
aaaafcho-1,2,1147.7209045410157,3691.1320556640626
aaaafchp-1,2,1116.5181640625,3693.208081054687
aaaafcia-1,2,1125.318133544922,3693.909497070312
aaaafcib-1,2,1122.118078613281,3704.2460449218743
aaaafcic-1,2,1111.1773376464844,3704.321166992187
aaaafcid-1,2,1133.795098876953,3705.667138671875
aaaafcie-1,2,1128.575152587891,3702.033056640625
aaaafcif-1,2,1105.96123046875,3697.6871826171873
aaaafcig-1,2,1137.0389404296875,3697.9528076171873
aaaafcih-1,2,1143.9666687011718,3700.4123291015626
aaaafcii-1,2,1147.4251892089844,3707.469653320312
aaaafcij-1,2,1113.165997314453,3717.160400390625
aaaafcik-1,2,1119.1764892578124,3712.5123779296873
aaaafcil-1,2,1134.1562866210936,3712.668017578125
aaaafcim-1,2,1152.9844299316403,3604.3166748046874
aaaafcin-1,2,1152.6122436523438,3626.195874023437
aaaafcio-1,2,1148.7641052246092,3639.879296875
aaaafcip-1,2,1148.87294921875,3669.6442382812497
aaaafcja-1,2,1155.833984375,3640.7620849609375
aaaafcjb-1,2,1155.4517333984377,3616.9135253906247
aaaafcjc-1,2,1159.7327575683594,3613.9044921875
aaaafcjd-1,2,1160.8772277832031,3637.697436523438
aaaafcje-1,2,1159.4515686035156,3602.6291259765626
aaaafcjf-1,2,1162.638342285156,3591.8206787109375
aaaafcjg-1,2,1163.8750549316403,3642.5853515625
aaaafcjh-1,2,1162.9712036132812,3631.151025390625
aaaafcji-1,2,1164.2627014160155,3610.028442382813
aaaafcjj-1,2,1166.4275451660155,3622.77138671875
aaaafcjk-1,2,1168.7124389648436,3600.4119873046875
aaaafcjl-1,2,1169.876623535156,3614.615869140625
aaaafcjm-1,2,1172.1912963867187,3645.0116699218743
aaaafcjn-1,2,1171.1604431152343,3635.71728515625
aaaafcjo-1,2,1175.3317932128905,3612.8722900390626
aaaafcjp-1,2,1174.0512939453124,3604.3129394531247
aaaafcka-1,2,1174.1951049804686,3591.2599609374997
aaaafckb-1,2,1177.6454284667968,3638.464428710937
aaaafckc-1,2,1179.176715087891,3586.2143310546876
aaaafckd-1,2,1180.028582763672,3599.662841796875
aaaafcke-1,2,1181.69755859375,3608.511889648438
aaaafckf-1,2,1179.0030212402344,3621.8105712890624
aaaafckg-1,2,1183.592730712891,3625.627270507812
aaaafckh-1,2,1182.7333923339845,3642.6330810546874
aaaafcki-1,2,1184.3938598632812,3586.7721435546873
aaaafckj-1,2,1182.967266845703,3632.35380859375
aaaafckk-1,2,1184.9915161132812,3595.776416015625
aaaafckl-1,2,1187.6855346679688,3626.129467773437
aaaafckm-1,2,1187.440557861328,3646.695068359375
aaaafckn-1,2,1191.751983642578,3634.074145507812
aaaafcko-1,2,1191.8168334960938,3596.749267578125
aaaafckp-1,2,1193.0072692871092,3589.1681640624997
aaaafcla-1,2,1192.1790588378906,3640.795703125
aaaafclb-1,2,1192.8257934570313,3625.4521240234376
aaaafclc-1,2,1193.189678955078,3603.2242919921873
aaaafcld-1,2,1192.1426391601562,3612.937036132813
aaaafcle-1,2,1198.2344787597656,3641.7399169921873
aaaafclf-1,2,1199.6122009277344,3609.998559570312
aaaafclg-1,2,1198.3694702148437,3620.52685546875
aaaafclh-1,2,1200.7663208007812,3602.4232666015623
aaaafcli-1,2,1201.2096862792969,3631.764453125
aaaafclj-1,2,1201.6585510253906,3593.1728759765624
aaaafclk-1,2,1205.154943847656,3610.0608154296874
aaaafcll-1,2,1205.8544921875,3599.3349609375
aaaafclm-1,2,1204.6602172851562,3641.049291992187
aaaafcln-1,2,1205.5833679199218,3625.6720947265626
aaaafclo-1,2,1204.894921875,3652.9385009765624
aaaafclp-1,2,1386.511761474609,3577.8122802734374
aaaafcma-1,2,1392.4985961914062,3573.7955322265625
aaaafcmb-1,2,1384.7204528808593,3564.8622314453123
aaaafcmc-1,2,1377.9427612304687,3570.7889892578123
aaaafcmd-1,2,1378.3664123535157,3564.107275390625
aaaafcme-1,2,1391.2372924804688,3564.180322265625
aaaafcmf-1,2,1376.3939392089844,3577.630908203125
aaaafcmg-1,2,1396.964727783203,3568.1572265625
aaaafcmh-1,2,1381.0260864257812,3582.3436767578123
aaaafcmi-1,2,1397.442956542969,3579.391918945312
aaaafcmj-1,2,1372.330499267578,3565.2158447265624
aaaafcmk-1,2,1396.64296875,3558.4731201171876
aaaafcml-1,2,1378.230694580078,3556.324462890625
aaaafcmm-1,2,1391.09970703125,3586.1437744140626
aaaafcmn-1,2,1368.6870788574215,3575.3643798828125
aaaafcmo-1,2,1381.5862854003906,3587.588525390625
aaaafcmp-1,2,1396.6615417480468,3584.46494140625
aaaafcna-1,2,1383.6503784179688,3554.7668212890626
aaaafcnb-1,2,1402.6082214355467,3568.8881103515623
aaaafcnc-1,2,1371.204187011719,3582.969140625
aaaafcnd-1,2,1371.5478393554688,3554.978076171875
aaaafcne-1,2,1404.1733337402345,3578.2347900390623
aaaafcnf-1,2,1388.821661376953,3553.2548339843747
aaaafcng-1,2,1364.07734375,3556.656494140625
aaaafcni-1,2,1386.29853515625,3591.7513671875
aaaafcnj-1,2,1373.225012207031,3590.42822265625
aaaafcnk-1,2,1400.8683776855469,3587.623388671875
aaaafcnl-1,2,1358.30830078125,3560.6865234375
aaaafcnm-1,2,1406.583984375,3565.727587890625
aaaafcnn-1,2,1380.3587036132812,3594.043212890625
aaaafcno-1,2,1365.0163696289062,3584.1017822265626
aaaafcnp-1,2,1392.772833251953,3596.1246337890625
aaaafcoa-1,2,1367.5857727050782,3590.038916015625
aaaafcob-1,2,1392.8414184570313,3548.860400390625
aaaafcoc-1,2,1398.4567932128905,3593.672998046875
aaaafcod-1,2,1380.0133911132812,3547.4862060546875
aaaafcoe-1,2,1407.994598388672,3557.5824462890623
aaaafcof-1,2,1356.0929260253906,3566.42568359375
aaaafcog-1,2,1386.545068359375,3545.98916015625
aaaafcoh-1,2,1410.4859741210937,3570.966625976562
aaaafcoi-1,2,1406.8481567382812,3588.236401367187
aaaafcoj-1,2,1385.11982421875,3599.234936523437
aaaafcok-1,2,1400.3798767089845,3549.14677734375
aaaafcol-1,2,1358.443292236328,3578.3306640625
aaaafcom-1,2,1410.9037109375,3580.819653320312
aaaafcon-1,2,1349.0524108886718,3568.9682128906247
aaaafcoo-1,2,1378.444854736328,3599.8707763671873
aaaafcop-1,2,1414.5404907226562,3562.0067626953123
aaaafcpa-1,2,1382.5879821777344,3539.0285400390626
aaaafcpb-1,2,1388.2767150878906,3540.088134765625
aaaafcpc-1,2,1391.5223205566406,3602.845361328125
aaaafcpd-1,2,1416.4397094726562,3575.3303466796874
aaaafcpe-1,2,1393.798498535156,3542.0570800781247
aaaafcpf-1,2,1357.0202270507812,3584.1997314453124
aaaafcpg-1,2,1407.341326904297,3549.84072265625
aaaafcpi-1,2,1407.1056884765624,3596.3068359374997
aaaafcpj-1,2,1418.5184326171875,3568.3635009765626
aaaafcpk-1,2,1399.549072265625,3542.204833984375
aaaafcpl-1,2,1416.6622741699218,3585.2423095703125
aaaafcpm-1,2,1384.093017578125,3605.917895507812
aaaafcpn-1,2,1401.8175720214842,3602.7316406249997
aaaafcpo-1,2,1412.5025451660156,3593.121826171875
aaaafcpp-1,2,1351.4439697265625,3579.231298828125
aaaafdaa-1,2,1376.9759277343749,3607.19912109375
aaaafdab-1,2,1405.3112670898438,3542.208154296875
aaaafdac-1,2,1422.2366638183594,3564.2243164062497
aaaafdad-1,2,1392.231103515625,3534.7968017578123
aaaafdae-1,2,1391.142663574219,3609.6781494140623
aaaafdaf-1,2,1352.5122802734377,3593.0027099609374
aaaafdag-1,2,1414.417120361328,3545.60234375
aaaafdah-1,2,1400.5959045410157,3536.9105957031247
aaaafdai-1,2,1416.967431640625,3596.5695556640626
aaaafdaj-1,2,1340.574304199219,3578.079150390625
aaaafdak-1,2,1382.7564880371094,3612.7593994140625
aaaafdal-1,2,1410.163592529297,3608.042895507812
aaaafdam-1,2,1408.3980163574215,3536.1344726562497
aaaafdan-1,2,1400.023046875,3530.6256591796873
aaaafdao-1,2,1345.2414184570312,3589.5553955078126
aaaafdap-1,2,1395.0723571777344,3613.567895507813
aaaafdba-1,2,1388.1834350585937,3616.39638671875
aaaafdbb-1,2,1385.1794860839843,3528.6708251953123
aaaafdbc-1,2,1416.9575744628903,3603.992529296875
aaaafdbd-1,2,1381.2705444335936,3619.331958007812
aaaafdbe-1,2,1392.8762817382812,3618.6770263671874
aaaafdbf-1,2,1414.7300598144532,3535.1645263671876
aaaafdbg-1,2,1407.3462036132812,3528.8837402343747
aaaafdbh-1,2,1392.7171142578125,3522.6427978515626
aaaafdbi-1,2,1406.3460632324218,3615.815747070312
aaaafdbj-1,2,1420.576922607422,3536.539135742187
aaaafdbk-1,2,1421.3199462890625,3611.090942382813
aaaafdbl-1,2,1402.6613464355469,3523.594067382812
aaaafdbm-1,2,1407.5060974121093,3520.547265625
aaaafdca-1,2,1400.1197509765625,3612.8033935546873
aaaafdcb-1,2,1313.5821350097656,3470.003186035156
aaaafdcc-1,2,1279.0417541503905,3467.612353515625
aaaafdcd-1,2,1269.3127197265624,3469.451806640625
aaaafdce-1,2,1322.4778747558594,3470.2094604492186
aaaafdcf-1,2,1291.334069824219,3470.7033569335936
aaaafdcg-1,2,1285.1197937011718,3468.514233398437
aaaafdch-1,2,1329.253594970703,3471.867749023437
aaaafdci-1,2,1301.1414428710937,3471.520568847656
aaaafdcj-1,2,1285.4178955078123,3476.8598388671876
aaaafdck-1,2,1293.5383422851562,3481.326904296875
aaaafdcl-1,2,1303.6824157714843,3478.0844116210938
aaaafdcm-1,2,1266.630010986328,3482.38857421875
aaaafdcn-1,2,1282.54873046875,3481.2824951171874
aaaafdco-1,2,1273.8144409179688,3482.1706787109374
aaaafdcp-1,2,1316.153302001953,3481.31279296875
aaaafdda-1,2,1307.0156982421877,3482.5076904296875
aaaafddb-1,2,1283.6041748046875,3489.597802734375
aaaafddc-1,2,1306.666650390625,3489.0561767578124
aaaafddd-1,2,1312.0155700683592,3491.3974121093747
aaaafdde-1,2,1297.2922668457031,3488.59091796875
aaaafddf-1,2,1329.0092407226562,3487.756689453125
aaaafddg-1,2,1279.783117675781,3495.574365234375
aaaafddh-1,2,1321.267724609375,3487.8442626953124
aaaafddi-1,2,1327.9944702148437,3493.8253906249997
aaaafddj-1,2,1269.703167724609,3495.857006835937
aaaafddk-1,2,1298.9733825683593,3495.483471679687
aaaafddl-1,2,1320.8083801269531,3496.3612792968747
aaaafddm-1,2,1312.7503967285156,3498.142626953125
aaaafddn-1,2,1293.1967651367188,3499.89990234375
aaaafddo-1,2,1323.889318847656,3502.5532470703124
aaaafddp-1,2,1267.130859375,3501.9734375
aaaafdea-1,2,1306.7096069335937,3503.560546875
aaaafdeb-1,2,1317.332012939453,3506.761328125
aaaafdec-1,2,1276.9016052246093,3504.3549316406247
aaaafded-1,2,1330.4053283691403,3505.8490722656247
aaaafdee-1,2,1295.899188232422,3506.176123046875
