ID,x,y,label_3PCs_k6,label_10PCs_k6
aaaaaajd-1,1613.2803894042968,851.2744812011719,1,0
aaaaaaje-1,1618.5531494140623,844.7811431884766,5,0
aaaaaajf-1,1592.94814453125,866.0810516357421,5,0
aaaaaajg-1,1023.7417846679688,1687.390179443359,2,1
aaaaaajh-1,1638.3826782226563,1712.377813720703,5,0
aaaaaaji-1,1140.5236083984375,1706.8266662597655,0,2
aaaaaajj-1,907.3549743652344,1693.9778869628906,5,1
aaaaaajk-1,1009.8181579589844,1696.490948486328,2,1
aaaaaajl-1,915.9662048339844,1693.6692016601562,5,1
aaaaaajm-1,1367.4529602050782,1699.36416015625,3,4
aaaaaajn-1,1004.4319885253906,1689.4778259277343,2,1
aaaaaajo-1,1005.333349609375,1713.7846923828124,2,1
aaaaaajp-1,1397.705987548828,1680.1192138671877,3,4
aaaaaaka-1,1597.1223999023437,1694.2937316894531,0,2
aaaaaakb-1,1170.632409667969,1689.4200317382813,0,2
aaaaaakd-1,984.4663269042968,1710.7452575683594,2,1
aaaaaake-1,1071.9064453125,1710.0520385742186,2,3
aaaaaakf-1,1162.1054321289062,1710.4390625,0,2
aaaaaakg-1,1365.1411926269532,1712.9260803222655,3,4
aaaaaakh-1,1148.7685668945312,1706.1678955078123,0,2
aaaaaakj-1,1371.630743408203,1695.6124145507813,3,4
aaaaaakk-1,1348.179376220703,1701.8396606445312,3,4
aaaaaakl-1,1152.8301391601562,1720.160314941406,0,2
aaaaaakm-1,1244.625469970703,1701.072979736328,3,4
aaaaaakn-1,1112.1423034667969,1707.697003173828,2,1
aaaaaako-1,1399.7586669921875,1696.5132568359377,4,4
aaaaaakp-1,993.8947692871094,1688.1668212890625,2,1
aaaaaala-1,1019.0533996582031,1696.113366699219,4,1
aaaaaalb-1,1345.8126159667968,1709.3753173828125,3,4
aaaaaalc-1,993.1658569335938,1700.902606201172,2,1
aaaaaald-1,1263.173358154297,1697.685015869141,3,4
aaaaaale-1,1103.6007995605469,1697.1555297851562,2,1
aaaaaalg-1,1079.9146240234377,1691.772265625,2,1
aaaaaalh-1,884.3317199707031,1710.2641235351562,5,1
aaaaaali-1,1167.303692626953,1695.9371826171875,0,2
aaaaaalj-1,1287.5138427734375,1710.2836303710938,3,4
aaaaaall-1,1152.1851684570313,1698.1557739257812,0,2
aaaaaalm-1,1137.333203125,1711.0000915527344,0,2
aaaaaaln-1,1277.6854064941406,1699.254278564453,3,4
aaaaaalo-1,1355.451171875,1695.2243530273438,3,4
aaaaaalp-1,953.3233520507812,1700.993603515625,5,0
aaaaaamb-1,1125.4175354003903,1696.4350219726562,2,1
aaaaaamc-1,1128.6510009765625,1707.5027648925782,0,2
aaaaaamd-1,1333.16357421875,1708.215802001953,3,4
aaaaaamf-1,1155.582470703125,1694.5315490722655,0,2
aaaaaamg-1,898.0627685546875,1683.8731384277344,5,1
aaaaaamh-1,889.182696533203,1690.8346923828124,2,1
aaaaaami-1,873.9016845703125,1691.7391662597656,2,1
aaaaaamj-1,887.6644836425781,1697.3601440429686,2,1
aaaaaamk-1,851.4059967041015,1688.849871826172,2,1
aaaaaaml-1,841.930239868164,1686.311492919922,2,1
aaaaaamm-1,894.8893798828125,1707.1804870605467,5,1
aaaaaamn-1,1140.0320983886718,1692.6256896972657,0,2
aaaaaamo-1,977.8442749023436,1693.5102416992188,2,1
aaaaaamp-1,897.3778503417968,1690.6263427734375,5,1
aaaaaana-1,834.5934387207031,1701.3661010742187,2,1
aaaaaanb-1,846.0159362792969,1706.9940307617187,4,4
aaaaaanc-1,957.4139770507812,1688.9676391601563,1,0
aaaaaand-1,843.0559814453125,1694.9983642578125,2,1
aaaaaane-1,860.0358520507813,1693.4201782226562,2,1
aaaaaanf-1,901.7795471191406,1700.462042236328,2,1
aaaaaang-1,863.2852966308593,1703.2815063476562,2,1
aaaaaanh-1,1622.0668701171874,1686.9866577148437,4,4
aaaaaani-1,1645.6416076660155,1704.3558349609375,2,3
aaaaaanj-1,1652.7591125488282,1711.059130859375,2,3
aaaaaank-1,1664.1538024902345,1691.1121459960937,5,1
aaaaaanl-1,1652.3403381347655,1701.0611511230468,2,1
aaaaaanm-1,1587.9754577636718,1694.2507751464843,1,0
aaaaaann-1,1634.4999877929688,1702.865637207031,4,1
aaaaaano-1,1656.0877258300782,1695.2935607910156,1,0
aaaaaanp-1,1655.3006042480467,1687.667010498047,5,0
aaaaaaob-1,1639.9817199707031,1688.5607971191405,2,3
aaaaaaoc-1,1628.1264404296874,1693.681134033203,3,4
aaaaaaod-1,1663.2127014160155,1702.22626953125,4,4
aaaaaaoe-1,824.2217163085937,1701.3516784667968,2,1
aaaaaaof-1,1669.2648010253906,1671.8634643554688,2,1
