ID,x,y,kmeans
spot_688,4621,10789,0
spot_689,7245,7447,2
spot_690,4843,8296,0
spot_691,7381,9591,5
spot_692,7590,5299,0
spot_693,5081,8017,4
spot_694,9146,4110,1
spot_695,3256,5470,0
spot_696,10870,9080,3
spot_697,11304,2848,6
spot_698,7578,3776,3
spot_699,10399,10468,0
spot_700,10008,6664,3
spot_701,7851,8065,5
spot_702,4575,4837,2
spot_703,10881,10603,0
spot_704,7830,5297,0
spot_705,4848,8988,0
spot_706,4196,2418,5
spot_707,5583,10643,0
spot_708,5826,10918,0
spot_709,11961,10110,3
spot_710,8942,8956,4
spot_711,9045,6672,3
spot_712,8218,8824,5
spot_713,11228,8731,3
spot_714,8417,3285,3
spot_715,6304,10499,4
spot_716,2770,4920,0
spot_717,9553,10128,4
spot_718,5805,8150,4
spot_719,9759,5559,3
spot_720,8581,9028,5
spot_721,8234,10900,5
spot_722,6020,4826,2
spot_723,3720,3252,2
spot_724,4464,6015,4
spot_725,8061,3911,3
spot_726,11326,5755,1
spot_727,10141,8255,3
spot_728,9677,10612,4
spot_729,9742,3344,1
spot_730,4614,9958,0
spot_731,5775,4274,2
spot_732,11937,6927,1
spot_733,8672,5083,3
spot_734,5528,3446,2
spot_735,4241,8369,0
spot_736,3135,5402,0
spot_737,7022,9802,5
spot_738,9280,5839,3
spot_739,6180,10016,4
spot_740,3631,7336,0
spot_741,10400,10606,0
spot_742,7938,3566,3
spot_743,4700,5321,2
spot_744,6878,6688,2
spot_745,10838,4928,1
spot_746,4494,10028,0
spot_747,7135,8901,5
spot_748,11000,10394,0
spot_749,10473,4446,1
spot_750,6771,8558,5
spot_751,6127,2957,0
spot_752,10961,5273,1
spot_753,6288,8285,2
spot_754,6636,6552,2
spot_755,4216,5047,4
spot_756,4114,7471,4
spot_757,10233,4586,1
spot_758,6860,4335,0
spot_759,6901,9733,5
spot_760,7270,10769,5
spot_761,8178,3564,3
spot_762,10038,10540,0
spot_763,5814,9395,4
spot_764,11113,9355,3
spot_765,10365,6039,1
spot_766,7093,3365,0
spot_767,10521,10675,0
spot_768,7867,10141,5
spot_769,10580,2715,6
spot_770,5317,7323,4
spot_771,7601,6821,4
spot_772,3279,8515,0
spot_773,11235,9562,3
spot_774,11956,9418,3
spot_775,11586,8244,3
spot_776,4587,6360,4
spot_777,10942,2782,6
spot_778,11219,7486,3
spot_779,6178,9739,4
spot_780,3890,9687,0
spot_781,6849,2951,0
spot_782,5681,7666,4
spot_783,3398,8307,0
spot_784,9418,8261,0
spot_785,11091,6449,1
spot_786,4607,8989,0
spot_787,4221,5740,4
spot_788,5657,4483,2
spot_789,10361,5485,1
spot_790,9627,3968,1
spot_791,9640,5768,3
spot_792,10715,4583,1
spot_793,7591,5437,0
spot_794,8456,8406,4
spot_795,9304,9023,4
spot_796,3367,4293,4
spot_797,4570,4145,2
spot_798,7739,9104,5
spot_799,4725,8642,0
spot_800,5584,10781,0
spot_801,11847,10872,3
spot_802,7252,8416,5
spot_803,5660,4898,2
spot_804,8300,3771,3
spot_805,7504,9936,5
spot_806,10498,7768,3
spot_807,9540,8467,0
spot_808,8785,4182,1
spot_809,6179,9877,4
spot_810,9147,4249,1
spot_811,4807,3590,2
spot_812,5553,6768,5
spot_813,10737,7489,3
spot_814,7981,9241,5
spot_815,5221,10577,0
spot_816,7954,5780,0
spot_817,10591,4099,1
spot_818,6889,8211,5
spot_819,6175,9324,4
spot_820,3638,8305,0
spot_821,10754,9704,0
spot_822,9780,8327,0
spot_823,8073,5572,0
spot_824,6648,8213,5
spot_825,8941,8818,4
spot_826,8190,5086,3
spot_827,10022,8464,0
spot_828,7613,8344,5
spot_829,11469,8730,3
