barcode,x,y,original_cluster,mclust_seed_141,mclust_seed_549,mclust_seed_75,mclust_seed_492,mclust_seed_676,mclust_seed_179,mclust_seed_587,mclust_seed_592,mclust_seed_601,mclust_seed_916,mclust_seed_518,mclust_seed_339,mclust_seed_921,mclust_seed_423,mclust_seed_330,mclust_seed_388,mclust_seed_273,mclust_seed_286,mclust_seed_61,mclust_seed_807,mclust_seed_283,mclust_seed_127,mclust_seed_165,mclust_seed_952,mclust_seed_311,mclust_seed_597,mclust_seed_473,mclust_seed_594,mclust_seed_605,mclust_seed_101
204,1.1,0.5,5,5,5,6,6,5,6,6,5,5,6,6,3,5,6,6,5,6,5,6,5,5,1,5,5,5,4,6,6,6,5
205,1.25,0.5,3,5,5,1,2,5,6,1,5,5,6,3,3,5,6,6,5,6,1,6,5,5,1,5,1,5,5,6,6,6,5
206,1.4,0.5,3,5,5,1,2,5,6,1,5,5,6,3,3,5,6,6,5,6,1,6,5,5,1,5,1,5,5,6,6,6,5
207,1.55,0.5,5,5,5,5,5,5,2,5,5,5,2,5,3,5,5,6,5,6,4,6,5,5,1,6,2,5,6,6,6,6,5
208,1.7,0.5,5,1,4,5,5,6,2,5,2,3,2,5,3,5,5,5,6,5,4,5,5,6,1,6,6,6,6,3,5,4,5
209,1.85,0.5,5,1,2,5,5,3,2,5,2,3,2,5,3,2,5,5,6,5,4,5,5,3,1,6,6,1,3,3,5,5,6
210,2.0,0.5,3,1,4,1,2,3,6,1,3,1,3,2,2,2,5,3,2,4,1,3,5,3,1,2,1,1,3,1,3,2,2
211,2.15,0.5,3,1,1,1,2,3,6,1,3,1,3,2,2,2,3,3,2,4,1,3,5,3,1,2,1,1,2,1,3,2,2
212,2.3,0.5,1,1,6,1,2,3,6,1,6,1,1,2,2,2,3,3,3,4,1,3,5,3,1,2,1,1,5,1,3,2,2
213,2.45,0.5,1,2,6,1,2,3,6,1,6,1,1,3,2,3,4,3,3,3,1,3,5,3,2,2,1,2,5,1,3,2,2
214,2.6,0.5,1,1,6,1,2,3,6,1,6,1,1,3,2,3,4,2,4,1,1,1,2,3,2,4,1,1,5,1,1,2,4
215,2.75,0.5,1,2,6,1,2,3,6,1,6,1,1,3,2,3,4,3,3,3,1,3,5,3,2,2,1,2,5,1,3,2,2
216,2.9,0.5,1,1,6,1,2,2,6,1,6,1,1,3,6,4,5,2,4,1,1,1,6,6,1,4,1,1,5,1,1,2,4
217,3.05,0.5,6,6,2,5,5,6,2,5,2,6,2,5,6,6,5,5,6,5,6,5,6,6,6,6,6,6,6,3,5,4,6
218,3.2,0.5,6,6,2,5,5,6,2,5,2,6,2,5,6,6,5,5,6,5,6,5,6,6,6,6,6,6,6,3,5,4,6
219,3.35,0.5,6,6,2,5,5,6,2,5,2,6,2,5,6,6,5,5,6,5,6,5,6,6,6,6,6,6,6,3,5,4,6
220,-0.55,0.65,1,2,1,1,2,3,2,1,2,1,1,3,2,3,4,3,3,3,1,3,5,3,2,2,1,2,1,1,3,2,2
221,-0.4,0.65,1,2,1,1,2,3,6,1,2,1,1,3,2,3,4,3,3,3,1,3,5,3,2,2,1,2,5,1,3,2,2
222,-0.25,0.65,6,1,2,6,6,5,2,6,5,5,2,6,5,5,2,5,1,6,5,5,4,5,5,5,5,5,4,6,5,4,5
223,-0.1,0.65,6,5,2,6,6,5,5,6,5,5,6,6,5,5,6,5,5,6,5,5,4,5,5,5,5,5,4,6,5,6,5
224,0.05,0.65,6,5,5,6,6,5,5,6,5,5,6,6,5,5,6,5,5,6,5,5,4,5,5,5,5,5,4,6,5,6,5
225,0.2,0.65,6,5,5,6,6,5,5,6,5,5,6,6,5,5,6,5,5,6,5,5,4,5,5,5,5,5,4,6,5,6,5
226,0.35,0.65,6,5,5,6,6,5,5,6,5,5,6,6,5,5,6,2,5,6,5,5,4,5,5,5,5,5,4,6,6,6,5
227,0.5,0.65,6,5,5,6,6,5,5,6,5,5,6,6,5,5,6,5,5,6,5,5,4,5,5,5,5,5,4,6,6,6,5
228,0.65,0.65,5,5,5,6,6,5,5,6,5,5,6,6,5,5,6,6,5,6,5,6,4,5,5,5,5,5,4,6,6,6,5
229,0.8,0.65,5,5,5,6,6,5,5,6,5,5,6,6,5,5,6,6,5,6,5,6,4,5,5,5,5,5,4,6,6,6,5
230,0.95,0.65,5,5,5,6,6,5,5,6,5,5,6,6,5,5,6,6,5,6,5,6,4,5,5,5,5,5,4,6,6,6,5
231,1.1,0.65,5,5,5,6,6,5,6,4,5,5,6,6,3,5,6,6,5,6,5,6,5,5,1,5,5,5,4,6,6,6,5
232,1.25,0.65,5,5,5,5,5,5,2,4,5,5,6,5,3,5,6,6,5,6,4,6,5,5,1,4,2,5,5,6,6,6,5
233,1.4,0.65,3,5,5,1,2,5,6,1,5,5,6,3,3,5,6,6,5,6,1,6,5,5,1,5,1,5,5,6,6,6,5
234,1.55,0.65,3,5,5,1,2,5,6,1,5,5,2,3,3,5,5,6,5,6,1,6,5,5,1,2,1,5,5,6,6,6,5
235,1.7,0.65,3,1,2,1,2,5,6,1,5,5,2,3,3,5,5,3,6,6,1,5,5,3,1,2,1,5,5,3,6,4,5
236,1.85,0.65,3,1,2,1,2,3,6,1,2,3,2,5,3,2,5,3,2,5,1,3,5,3,1,2,1,1,2,1,5,5,6
237,2.0,0.65,3,1,1,1,2,3,6,1,3,1,3,2,2,2,3,3,2,4,1,3,5,3,1,2,1,1,2,1,3,2,2
238,2.15,0.65,1,1,1,1,2,3,6,1,3,1,1,2,2,2,3,3,3,4,1,3,5,3,1,2,1,1,2,1,3,2,2
239,2.3,0.65,1,2,6,1,2,3,6,1,6,1,1,3,2,3,4,3,3,3,1,3,5,3,2,2,1,2,5,1,3,2,2
240,2.45,0.65,1,2,6,1,2,3,6,1,6,1,1,3,2,3,4,3,3,3,1,3,5,3,2,2,1,2,5,1,3,2,2
241,2.6,0.65,1,2,6,1,2,3,6,1,6,1,1,3,2,3,4,3,3,3,1,3,5,3,2,2,1,2,5,1,3,2,2
242,2.75,0.65,1,2,6,1,2,3,6,1,6,1,1,3,2,3,4,3,3,3,1,3,5,3,2,2,1,2,5,1,3,2,2
243,2.9,0.65,6,6,2,5,5,6,2,5,2,6,2,5,6,6,5,5,6,5,6,5,6,6,6,6,6,6,6,3,5,4,6
