polygon_id,x,y
1,49477.4325916,5638.8927876
1,49360.3624733,5370.5226219
1,49263.5624221,5268.8366129
1,49276.0195414,5161.9634361
1,49163.7746648,4870.0200646
1,49181.8617741,4785.2896797
1,49129.7361203,4617.0273534
1,49049.8172454,4534.3996054
1,48923.8619884,4554.454644
1,48519.4234797,4958.4104094
1,48764.0899817,4593.0828089
1,48758.1166313,4412.7531805
1,48912.9845855,4428.7845259
1,49014.6430079,4316.6599673
1,48975.9852183,4109.5713562
1,48767.2162393,3847.7520581
1,48641.2994357,3886.5935186
1,48551.080034,3792.2449085
1,48390.3641834,3752.0418886
1,48251.9883716,3865.8376369
1,48036.7371088,3798.174252
1,47929.1114774,3850.4601825
1,47970.2886054,3739.625283
1,47902.991649,3647.1848309
1,47598.3846921,3601.7127867
1,47372.8481545,3767.7889681
1,47145.920404900004,4090.3458867
1,46950.033174,4175.2915112
1,46847.1975647,4349.9402227
1,46659.9439393,4099.7939977
1,46544.3536199,4135.0872681
1,46406.9427582,4107.2313185
1,46176.584838,3953.4862741
1,46022.3666488,3938.1088197
1,45730.4735786,4041.8226483
1,45300.2046966,3845.8440929
1,44900.2187077,3874.4120963
1,44638.8421743,3798.174252
1,44154.364487,3909.2618759
1,44047.1142382,3987.7884882
1,43976.037479,3903.9239726
1,43877.6128634,3878.506967
1,43711.7064102,3954.7339201
1,43588.6124071,4116.6678716
1,43628.0076514,4254.9218862
1,43507.1853731,4531.4878033
1,43541.7288008,4631.4090415
1,43388.5260589,4747.7309683
1,43272.134963,4765.0614223
1,43207.5911784,4847.6891703
1,43152.0214209,5054.5495181
1,43212.1406884,5147.8115125
1,43168.398152,5435.6055115
1,43124.6656747,5464.2510916
1,43062.6145416,5246.7676989
1,43125.9834609,5131.6650537
1,43110.6083707,5008.1888915
1,43035.14692,4898.2735041
1,43029.1813366,4716.3885955
1,42954.5472008,4622.6274493
1,42855.331711,4582.4244294
1,42773.8259079,4615.9644618
1,42632.037463,4911.0043199
1,42586.5096816,4957.023275
1,42516.9470618,4896.0643329
1,42441.8800921,4903.4585125
1,42241.2666307,5166.7676989
1,42109.5042301,5218.3335414
1,42001.8518588,5185.590596
1,41881.7008569,5261.6424908
1,41837.9079834,5148.5048251
1,41660.7050273,4954.2684599
1,41471.7112707,4911.5696642
1,41619.352537,4876.8202593
1,41732.8174615,4905.4856142
1,41900.4003018,4836.5816168
1,42074.5923381,4679.9147379
1,42247.2930515,4702.2214095
1,42395.4466121,4507.9145975
1,42391.4112306,4425.7644655
