"cell_id","x_centroid","y_centroid","Annotation_Type"
"aaaahbnj-1",547.402282714844,1506.03346557617,NA
"aaaahbnk-1",547.992260742187,1511.90367431641,NA
"aaaahbnl-1",586.729412841797,1514.09985351562,NA
"aaaahbnm-1",534.960864257812,1519.4417175293,NA
"aaaahbnn-1",597.446759033203,1513.8068359375,"Large Airway"
"aaaahbno-1",575.395941162109,1517.92713623047,NA
"aaaahbnp-1",545.816262817383,1521.47125854492,NA
"aaaahboa-1",567.796835327148,1522.18107910156,NA
"aaaahbob-1",584.039440917969,1518.83793945313,NA
"aaaahboc-1",592.327355957031,1521.58093261719,NA
"aaaahbod-1",607.351458740234,1514.82388916016,"Large Airway"
"aaaahboe-1",555.611703491211,1520.82649536133,NA
"aaaahbof-1",583.291748046875,1523.59366455078,NA
"aaaahbog-1",588.677709960937,1527.01151123047,NA
"aaaahboh-1",597.900708007812,1525.05532836914,"Large Airway"
"aaaahboi-1",596.507266235351,1529.67647705078,NA
"aaaahboj-1",557.936077880859,1528.62269287109,NA
"aaaahbok-1",581.742147827148,1531.34825439453,NA
"aaaahbol-1",547.528817749023,1530.63407592773,NA
"aaaahbom-1",590.327075195312,1535.17844238281,NA
"aaaahbon-1",561.73342590332,1533.3731262207,NA
"aaaahboo-1",542.114114379883,1542.14974975586,NA
"aaaahbop-1",552.826843261719,1536.84772949219,NA
"aaaahbpa-1",554.290530395508,1542.58076782227,NA
"aaaahbpb-1",572.921841430664,1536.97213745117,NA
"aaaahbpc-1",560.806176757813,1544.4237487793,NA
"aaaahbpd-1",600.138909912109,1540.71817626953,NA
"aaaahbpe-1",568.232885742187,1545.04215698242,NA
"aaaahbpf-1",578.921542358398,1543.47247924805,NA
"aaaahbpg-1",605.87438659668,1546.40099487305,NA
"aaaahbph-1",599.435003662109,1545.88032836914,NA
"aaaahbpi-1",593.580151367187,1548.69761352539,NA
"aaaahbpj-1",567.776913452148,1550.11580200195,NA
"aaaahbpk-1",577.798706054688,1550.70557250977,NA
"aaaahbpl-1",784.245983886719,1152.9884765625,NA
"aaaahbpm-1",819.098992919922,1152.50153198242,NA
"aaaahbpn-1",814.624975585937,1166.69856567383,NA
"aaaahbpo-1",814.411853027344,1177.16180419922,NA
"aaaahbpp-1",800.172744750977,1174.706640625,NA
"aaaahcaa-1",800.95768737793,1201.68334960938,NA
"aaaahcab-1",810.404495239258,1223.21910400391,NA
"aaaahcac-1",792.719680786133,1225.92204589844,NA
"aaaahcad-1",760.866107177734,1230.37624511719,NA
"aaaahcae-1",735.684027099609,1231.12165527344,NA
"aaaahcaf-1",738.879568481445,1245.15360717773,NA
"aaaahcag-1",801.939151000976,1242.81340942383,NA
"aaaahcah-1",749.259954833984,1250.69801025391,NA
"aaaahcai-1",785.241351318359,1251.16129760742,NA
"aaaahcaj-1",753.506686401367,1262.08450317383,NA
"aaaahcak-1",812.554501342773,1260.28613891602,NA
"aaaahcal-1",797.685104370117,1265.17758178711,NA
"aaaahcam-1",772.294052124023,1264.55388183594,NA
"aaaahcan-1",730.715386962891,1263.30689697266,NA
"aaaahcao-1",813.080563354492,1272.71738891602,NA
"aaaahcap-1",746.942739868164,1276.75592651367,NA
"aaaahcba-1",798.238403320312,1277.43949584961,NA
"aaaahcbb-1",760.018804931641,1281.18231811523,NA
"aaaahcbc-1",737.338735961914,1278.05032958984,NA
"aaaahcbd-1",810.496166992187,1288.01313476562,NA
"aaaahcbe-1",738.847662353516,1291.73178100586,NA
"aaaahcbf-1",757.089407348633,1303.91732788086,NA
"aaaahcbg-1",779.678634643555,1301.84140625,NA
"aaaahcbh-1",791.228082275391,1310.12174682617,NA
"aaaahcbi-1",806.952978515625,1310.27998046875,NA
"aaaahcbj-1",766.362728881836,1322.02631225586,NA
"aaaahcbk-1",786.935125732422,1320.61580200195,NA
"aaaahcbl-1",807.275619506836,1324.08843383789,NA
"aaaahcbm-1",752.658813476562,1329.19704589844,NA
"aaaahcbn-1",780.416418457031,1334.7653137207,NA
"aaaahcbo-1",763.12936706543,1337.06608276367,NA
"aaaahcbp-1",740.178848266602,1334.40308837891,NA
"aaaahcca-1",813.526678466797,1342.40939941406,NA
"aaaahccb-1",766.821969604492,1342.80669555664,NA
"aaaahccc-1",734.210015869141,1345.15830688477,NA
"aaaahccd-1",774.834091186523,1349.55979614258,NA
"aaaahcce-1",762.715002441406,1350.40979614258,NA
"aaaahccf-1",780.946578979492,1278.7091003418,NA
"aaaahccg-1",794.814071655273,1290.4298034668,NA
"aaaahcch-1",771.537591552734,1314.37402954102,NA
"aaaahcci-1",793.532638549805,1329.1509765625,NA
"aaaahccj-1",814.08345336914,1331.77308959961,NA
